"filename", "language", "XML", "Properties", "HTML", "YAML", "C++", "JSON", "Dart", "Swift", "Markdown", "comment", "blank", "total"
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\maps.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\players.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 5, 52
"c:\Users\davidp\Documents\GitHub\KZStats\lib\router.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 3, 64
"c:\Users\davidp\Documents\GitHub\KZStats\lib\theme\colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\davidp\Documents\GitHub\KZStats\lib\toggleButton.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 6, 56
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\future\kzstatsApiPlayerNation.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 2, 27
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\getRequest.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 3, 26
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\kzstatsApiPlayer_json.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 3, 6, 70
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\mapinfo_json.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 6, 47
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\record_json.dart", "Dart", 0, 0, 0, 0, 0, 0, 66, 0, 0, 3, 6, 75
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\steamplayer_json.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 11, 92
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\wr_json.dart", "Dart", 0, 0, 0, 0, 0, 0, 101, 0, 0, 3, 7, 111
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\steamLogin.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 28
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\urls.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 6, 7, 72
"c:\Users\davidp\Documents\GitHub\KZStats\pubspec.yaml", "YAML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 35, 11, 80
"c:\Users\davidp\Documents\GitHub\KZStats\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 10, 7, 31
"c:\Users\davidp\Documents\GitHub\KZStats\web\index.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 15, 5, 46
"c:\Users\davidp\Documents\GitHub\KZStats\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"Total", "-", 264, 3, 26, 34, 1, 168, 2320, 12, 5, 192, 286, 3311
