"filename", "language", "YAML", "Markdown", "Properties", "Dart", "XML", "JSON", "HTML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\davidp\Documents\GitHub\KZStats\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\davidp\Documents\GitHub\KZStats\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\davidp\Documents\GitHub\KZStats\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\davidp\Documents\GitHub\KZStats\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\davidp\Documents\GitHub\KZStats\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\AppBar.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 5, 30
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\Drawer.dart", "Dart", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 6, 96
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\Popup_mode.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\SearchBar.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 2, 7, 96
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\datatable.dart", "Dart", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 13, 190
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\error.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\loading.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\networkImage.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\topbar.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\widgets\worldRecord.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\cubit_state.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\cubit_update.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\davidp\Documents\GitHub\KZStats\lib\main.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\emptyListNull.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\modifyDate.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\pointsClassification.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\strCheckLen.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\svg.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\tierIdentifier.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\davidp\Documents\GitHub\KZStats\lib\others\timeConversion.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 7, 45
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\about.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\bans.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\map_detail.dart", "Dart", 0, 0, 0, 156, 0, 0, 0, 0, 0, 4, 8, 168
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\player_detail.dart", "Dart", 0, 0, 0, 183, 0, 0, 0, 0, 0, 5, 8, 196
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\homepage.dart", "Dart", 0, 0, 0, 273, 0, 0, 0, 0, 0, 10, 8, 291
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\jumpstats.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\loginPage.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\maps.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\players.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\profile.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\settings.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\davidp\Documents\GitHub\KZStats\lib\router.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 3, 67
"c:\Users\davidp\Documents\GitHub\KZStats\lib\theme\colors.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\davidp\Documents\GitHub\KZStats\lib\toggleButton.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 6, 56
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\future\kzstatsApiPlayerNation.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 2, 27
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\getRequest.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\kzstatsApiPlayer_json.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 6, 70
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\mapinfo_json.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 6, 47
