"filename", "language", "Dart", "YAML", "Markdown", "Swift", "JSON", "C++", "HTML", "XML", "Properties", "comment", "blank", "total"
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\networkImage.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 94
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\widgets\dataCells.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 113
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\widgets\toggleButton.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 56
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\widgets\worldRecord.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\mode_cubit.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\mode_state.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\tier_cubit.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\tier_state.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\davidp\Documents\GitHub\KZStats\lib\data\shared_preferences.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29
"c:\Users\davidp\Documents\GitHub\KZStats\lib\global\responsive.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\davidp\Documents\GitHub\KZStats\lib\global\router.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 64
"c:\Users\davidp\Documents\GitHub\KZStats\lib\global\sizeInfo_class.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
